city,date,pred_high,pred_low,actual_high,actual_low,high_ok,low_ok
AUS,2026-03-09,78,62,,,,
AUS,2026-03-08,67,54,,,,
AUS,2026-03-07,77,53,,,,
AUS,2026-03-06,84,75,,,,
CHI,2026-03-09,72,47,,,,
CHI,2026-03-08,62,34,,,,
CHI,2026-03-07,63,38,,,,
CHI,2026-03-06,64,60,,,,
DEN,2026-03-09,71,43,,,,
DEN,2026-03-08,65,35,,,,
DEN,2026-03-07,46,18,,,,
DEN,2026-03-06,31,28,,,,
LAX,2026-03-09,69,58,,,,
LAX,2026-03-08,88,60,,,,
LAX,2026-03-07,78,59,,,,
LAX,2026-03-06,73,62,,,,
MIA,2026-03-09,84,73,,,,
MIA,2026-03-08,84,74,,,,
MIA,2026-03-07,82,74,,,,
MIA,2026-03-06,80,77,,,,
MIN,2026-03-09,58,46,,,,
MIN,2026-03-08,60,39,,,,
MIN,2026-03-07,39,27,,,,
MIN,2026-03-06,50,40,,,,
NYC,2026-03-09,71,45,,,,
NYC,2026-03-08,68,47,,,,
NYC,2026-03-07,49,36,,,,
NYC,2026-03-06,40,37,,,,
OKC,2026-03-09,86,53,,,,
OKC,2026-03-08,74,33,,,,
OKC,2026-03-07,65,38,,,,
OKC,2026-03-06,78,69,,,,
PHIL,2026-03-09,75,40,,,,
PHIL,2026-03-08,72,47,,,,
PHIL,2026-03-07,52,39,,,,
PHIL,2026-03-06,44,41,,,,
TATL,2026-03-09,77,59,,,,
TATL,2026-03-08,69,62,,,,
TATL,2026-03-07,82,62,,,,
TATL,2026-03-06,80,64,,,,
TDAL,2026-03-09,84,63,,,,
TDAL,2026-03-08,73,45,,,,
TDAL,2026-03-07,74,48,,,,
TDAL,2026-03-06,82,75,,,,
TNOLA,2026-03-09,82,67,,,,
TNOLA,2026-03-08,75,66,,,,
TNOLA,2026-03-07,82,73,,,,
TNOLA,2026-03-06,81,73,,,,
TPHX,2026-03-09,77,63,,,,
TPHX,2026-03-08,87,57,,,,
TPHX,2026-03-07,79,55,,,,
TPHX,2026-03-06,72,61,,,,
TSATX,2026-03-09,75,61,,,,
TSATX,2026-03-08,63,55,,,,
TSATX,2026-03-07,78,56,,,,
TSATX,2026-03-06,85,75,,,,
TSFO,2026-03-09,65,52,,,,
TSFO,2026-03-08,72,55,,,,
TSFO,2026-03-07,73,58,,,,
TSFO,2026-03-06,69,57,,,,
